1.000000000e-03 7.884348117e-12 9.131629612e-12 7.882126196e-12 2.221921569e-15 0.000000000e+00 0.000000000e+00
1.188502227e-03 2.888329739e-10 2.099549252e-11 1.737769150e-11 2.714552824e-10 0.000000000e+00 0.000000000e+00
1.412537545e-03 2.033912060e-11 2.598321760e-11 2.030612347e-11 3.299712895e-14 0.000000000e+00 0.000000000e+00
1.678804018e-03 5.448502221e-10 3.182641102e-11 2.428729664e-11 5.205629255e-10 0.000000000e+00 0.000000000e+00
1.995262315e-03 6.345258424e-11 3.957095282e-11 2.778035327e-11 3.567223096e-11 0.000000000e+00 0.000000000e+00
2.371373706e-03 3.310372728e-11 4.834655713e-11 3.282147508e-11 2.822522053e-13 0.000000000e+00 0.000000000e+00
2.818382931e-03 4.552789732e-11 5.945202317e-11 3.584894000e-11 9.678957315e-12 0.000000000e+00 0.000000000e+00
3.349654392e-03 7.111717176e-11 7.374430342e-11 3.914152911e-11 3.197564265e-11 0.000000000e+00 0.000000000e+00
3.981071706e-03 5.911537499e-11 9.059549050e-11 4.412058311e-11 1.499479187e-11 0.000000000e+00 0.000000000e+00
4.731512590e-03 2.121071103e-10 1.111241997e-10 6.465574347e-11 1.474513669e-10 0.000000000e+00 0.000000000e+00
5.623413252e-03 1.073810544e-10 1.365406183e-10 6.723615942e-11 4.014489495e-11 0.000000000e+00 0.000000000e+00
6.683439176e-03 9.574315671e-11 1.678778071e-10 7.083853928e-11 2.490461744e-11 0.000000000e+00 0.000000000e+00
7.943282347e-03 1.322043010e-10 2.068841035e-10 7.656670377e-11 5.563759722e-11 0.000000000e+00 0.000000000e+00
9.440608763e-03 1.287790123e-10 2.531768906e-10 8.209358507e-11 4.668542727e-11 0.000000000e+00 0.000000000e+00
1.122018454e-02 1.487219367e-10 2.718867832e-10 8.202782260e-11 6.669411409e-11 0.000000000e+00 0.000000000e+00
1.333521432e-02 1.434831515e-10 2.716980216e-10 7.364735328e-11 6.983579824e-11 0.000000000e+00 0.000000000e+00
1.584893192e-02 1.308023988e-10 2.713363227e-10 6.527867152e-11 6.552372729e-11 0.000000000e+00 0.000000000e+00
1.883649089e-02 1.192666772e-10 2.711294762e-10 5.840624013e-11 6.086043703e-11 0.000000000e+00 0.000000000e+00
2.238721139e-02 1.081116989e-10 2.730736076e-10 5.263890754e-11 5.547279134e-11 0.000000000e+00 0.000000000e+00
2.660725060e-02 9.529972994e-11 2.717443642e-10 4.564452833e-11 4.965520161e-11 0.000000000e+00 0.000000000e+00
3.162277660e-02 8.148656452e-11 2.726520024e-10 3.971597060e-11 4.177059392e-11 0.000000000e+00 0.000000000e+00
3.758374043e-02 7.271363746e-11 2.720506780e-10 3.582744832e-11 3.688618914e-11 0.000000000e+00 0.000000000e+00
4.466835922e-02 6.293539105e-11 2.724598498e-10 3.027710727e-11 3.265828379e-11 0.000000000e+00 0.000000000e+00
5.308844442e-02 4.623183500e-11 2.714911750e-10 2.181943283e-11 2.441240217e-11 0.000000000e+00 0.000000000e+00
6.309573445e-02 2.318609813e-11 2.721320602e-10 1.014072934e-11 1.304536879e-11 0.000000000e+00 0.000000000e+00
7.498942093e-02 9.130153265e-12 2.714889144e-10 3.896085395e-12 5.234067870e-12 0.000000000e+00 0.000000000e+00
8.912509381e-02 1.065963200e-11 2.726406993e-10 4.897337386e-12 5.762294613e-12 2.388142078e-35 1.633472264e-35
1.059253725e-01 1.809599497e-11 2.650820502e-10 8.661465598e-12 9.434529370e-12 5.903776376e-31 8.861626168e-31
1.258925412e-01 3.256958362e-11 2.420060686e-10 1.666801713e-11 1.590156650e-11 4.437378137e-27 6.969217928e-27
1.496235656e-01 4.589127534e-11 2.227619635e-10 2.620948493e-11 1.968179041e-11 5.234649237e-24 6.401542382e-24
1.778279410e-01 4.915049705e-11 2.036674911e-10 2.809837229e-11 2.105212476e-11 6.309833194e-22 8.890665432e-22
2.113489040e-01 3.300194739e-11 1.872147095e-10 1.793647921e-11 1.506546810e-11 3.166877807e-20 4.359543617e-20
2.511886432e-01 4.222129183e-11 1.714942407e-10 2.407414098e-11 1.814714547e-11 2.196278658e-18 3.192339635e-18
2.985382619e-01 5.309438972e-11 1.582284496e-10 3.311859978e-11 1.997563283e-11 7.439509703e-17 8.272409371e-17
3.548133892e-01 5.763373607e-11 1.445727941e-10 3.852331274e-11 1.910777769e-11 1.337110802e-15 1.308528190e-15
4.216965034e-01 6.084538236e-11 1.332190732e-10 4.355854923e-11 1.726272866e-11 1.380673051e-14 1.029774062e-14
5.011872336e-01 6.326373142e-11 1.218126928e-10 4.828929818e-11 1.481847708e-11 9.758047941e-14 5.837567650e-14
5.956621435e-01 6.524505215e-11 1.117039803e-10 5.250299259e-11 1.206485266e-11 4.598054919e-13 2.174014112e-13
7.079457844e-01 6.729396278e-11 1.020178454e-10 5.566092304e-11 9.363319281e-12 1.659643256e-12 6.100772011e-13
8.413951416e-01 7.088397317e-11 9.325111278e-11 5.804573904e-11 6.807613043e-12 4.747282333e-12 1.283338757e-12
1.000000000e+00 7.895864899e-11 8.941020326e-11 6.152597412e-11 5.060788168e-12 1.032431630e-11 2.047570408e-12
1.079840827e+00 8.251528261e-11 8.315885506e-11 6.069015313e-11 3.832963862e-12 1.550458494e-11 2.487580686e-12
1.166056212e+00 8.792232124e-11 7.961369459e-11 6.049713563e-11 3.089154587e-12 2.151457486e-11 2.821456168e-12
1.259155105e+00 9.372635344e-11 7.601668697e-11 5.991238747e-11 2.421640961e-12 2.837214539e-11 3.020179611e-12
